"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","8.55"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"7","22","4","0","0","16","1.1","0.16","0","16","0","0"
"7","22","5","43","8","17","1.9","0.16","9.499","17.166","41.557","6.196"
"7","22","6","418","56","19","2.5","0.16","68.606","19.893","482.385","431.404"
"7","22","7","621","84","20","2.7","0.16","155.424","22.433","888.764","823.383"
"7","22","8","738","102","22","2.7","0.16","362.798","28.795","2446.588","2326.007"
"7","22","9","810","111","23","2.5","0.16","566.579","34.72","3988.685","3813.462"
"7","22","10","79","370","24","2.4","0.16","419.598","32.911","2890.801","2754.48"
"7","22","11","885","116","25","2.3","0.16","905.902","44.977","6057.929","5809.384"
"7","22","12","312","439","25","2.3","0.16","765.592","41.794","5124.291","4908.829"
"7","22","13","839","148","25","2.4","0.16","1019.827","47.227","6734.313","6461.801"
"7","22","14","823","141","25","2.5","0.16","995.513","46.334","6620.855","6352.363"
"7","22","15","789","132","24","2.5","0.16","898.112","43.254","6093.165","5843.371"
"7","22","16","730","119","23","2.5","0.16","740.379","38.913","5163.406","4946.558"
"7","22","17","109","187","22","2.4","0.16","276.599","27.976","1980.435","1876.372"
"7","22","18","168","98","21","2","0.16","188.445","25.4","1343.155","1261.674"
"7","22","19","174","30","19","2","0.16","78.821","20.747","434.584","385.297"
"7","22","20","0","0","18","2.4","0.16","0","18","0","0"
"7","22","21","0","0","17","2.7","0.16","0","17","0","0"
"7","22","22","0","0","17","2.9","0.16","0","17","0","0"
"7","22","23","0","0","17","3.1","0.16","0","17","0","0"
"7","23","0","0","0","16","3.3","0.16","0","16","0","0"
"7","23","1","0","0","16","3.5","0.16","0","16","0","0"
"7","23","2","0","0","16","3.7","0.16","0","16","0","0"
"7","23","3","0","0","15","3.8","0.16","0","15","0","0"
"7","23","4","0","0","15","3.8","0.16","0","15","0","0"
"7","23","5","0","0","15","4.3","0.16","0","0","0","0"
"7","23","6","0","54","17","5.2","0.16","52.027","17.724","361.244","314.555"
"7","23","7","118","150","18","5.9","0.16","148.029","19.803","1028.085","957.768"
"7","23","8","780","86","19","6.1","0.16","361.705","23.213","2483.916","2362.013"
"7","23","9","839","97","20","6.1","0.16","570.391","27.106","4139.141","3958.586"
"7","23","10","879","103","21","6","0.16","759.782","30.731","5405.728","5180.293"
"7","23","11","904","105","22","5.8","0.16","911.121","34.05","6365.691","6106.241"
"7","23","12","357","417","23","5.4","0.16","787.074","33.858","5442.709","5215.964"
"7","23","13","142","454","23","5","0.16","624.812","32.023","4330.593","4143.255"
"7","23","14","901","101","24","4.6","0.16","1023.5","39.827","6994.185","6712.465"
"7","23","15","870","97","24","4.3","0.16","927.553","38.958","6408.679","6147.705"
"7","23","16","817","89","23","3.9","0.16","774.208","36.234","5464.522","5237.004"
"7","23","17","726","79","22","3.1","0.16","566.083","32.976","4090.464","3911.634"
"7","23","18","575","59","21","1.9","0.16","330.68","28.93","2357.276","2239.86"
"7","23","19","267","26","19","1.2","0.16","94.392","21.462","497.46","445.944"
"7","23","20","0","0","17","1","0.16","0","17","0","0"
"7","23","21","0","0","17","1","0.16","0","17","0","0"
"7","23","22","0","0","17","0.9","0.16","0","17","0","0"
"7","23","23","0","0","17","0.8","0.16","0","17","0","0"
"7","24","0","0","0","17","0.7","0.16","0","17","0","0"
"7","24","1","0","0","16","0.8","0.16","0","16","0","0"
"7","24","2","0","0","15","0.9","0.16","0","15","0","0"
"7","24","3","0","0","14","1.1","0.16","0","14","0","0"
"7","24","4","0","0","14","1.2","0.16","0","14","0","0"
"7","24","5","0","0","15","2","0.16","0","0","0","0"
"7","24","6","500","47","16","2.4","0.16","65.003","16.738","462.723","412.438"
"7","24","7","712","66","19","2.5","0.16","152.823","21.378","842.699","778.951"
"7","24","8","825","77","22","2.9","0.16","371.702","28.703","2494.411","2372.136"
"7","24","9","887","84","23","3.1","0.16","583.918","33.89","4131.035","3950.768"
"7","24","10","908","98","24","3","0.16","775.615","38.953","5344.838","5121.56"
"7","24","11","928","101","24","2.9","0.16","927.715","42.365","6271.832","6015.707"
"7","24","12","936","102","25","2.7","0.16","1028.022","46.173","6821.084","6545.497"
"7","24","13","923","107","25","2.5","0.16","1061.878","47.742","6999.95","6718.025"
"7","24","14","906","104","26","2.2","0.16","1031.449","49.395","6778.553","6504.473"
"7","24","15","872","100","25","2","0.16","932.026","47.035","6232.402","5977.675"
"7","24","16","814","93","25","2","0.16","775.949","43.362","5322.603","5100.113"
"7","24","17","715","83","24","1.8","0.16","562.921","37.908","3988.137","3812.933"
"7","24","18","548","64","22","1.3","0.16","324.282","30.865","2291.871","2176.772"
"7","24","19","234","27","20","1","0.16","87.697","22.389","453.125","403.181"
"7","24","20","0","0","19","1.1","0.16","0","19","0","0"
"7","24","21","0","0","18","1.2","0.16","0","18","0","0"
"7","24","22","0","0","17","1.2","0.16","0","17","0","0"
"7","24","23","0","0","17","1.1","0.16","0","17","0","0"
"7","25","0","0","0","16","1","0.16","0","16","0","0"
"7","25","1","0","0","15","1","0.16","0","15","0","0"
"7","25","2","0","0","15","1","0.16","0","15","0","0"
"7","25","3","0","0","14","1","0.16","0","14","0","0"
"7","25","4","0","0","14","1.1","0.16","0","14","0","0"
"7","25","5","0","0","15","1.7","0.16","0","0","0","0"
"7","25","6","0","57","18","2.3","0.16","54.575","19.175","376.907","329.663"
"7","25","7","292","134","20","2.5","0.16","154.318","22.877","1000.18","930.851"
"7","25","8","762","96","23","3","0.16","362.294","29.43","2428.894","2308.94"
"7","25","9","823","109","24","3.4","0.16","569.083","34.103","4018.097","3841.831"
"7","25","10","854","121","24","3.6","0.16","757.193","37.253","5249.98","5030.064"
"7","25","11","874","126","25","3.7","0.16","904.4","40.738","6152.279","5900.391"
"7","25","12","881","128","26","3.8","0.16","1000.454","43.234","6717.329","6445.419"
"7","25","13","855","139","26","3.9","0.16","1025.857","43.461","6881.343","6603.622"
"7","25","14","827","140","26","3.7","0.16","998.351","43.516","6717.915","6445.984"
