"PVWatts Hourly PV Performance Data"
"Requested Location","5230 Dexter Ann Arbor Rd"
"Location","Lat, Lng: 42.29, -83.82"
"Latitude (DD)","42.29"
"Longitude (DD)","-83.82"
"Elevation (m)","268.2799987793"
"DC System Size (kW)","20"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","225"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","Yes (0.7)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","7","1","0","0","7","2.4","0.13","0","7","0","0"
"11","7","2","0","0","7","2.7","0.13","0","7","0","0"
"11","7","3","0","0","7","2.7","0.13","0","7","0","0"
"11","7","4","0","0","6","2.5","0.13","0","6","0","0"
"11","7","5","0","0","6","2.2","0.13","0","6","0","0"
"11","7","6","0","0","7","2.3","0.13","0","7","0","0"
"11","7","7","0","1","7","2.7","0.13","0.998","7.018","0","0"
"11","7","8","0","17","7","3.3","0.13","16.44","7.303","265.729","177.042"
"11","7","9","0","53","7","3.6","0.13","51.4","7.906","878.324","767.93"
"11","7","10","0","94","8","3.6","0.13","91.543","9.611","1579.165","1443.938"
"11","7","11","0","82","8","3.4","0.13","79.666","9.444","1361.668","1234.148"
"11","7","12","0","134","8","3.1","0.13","132.402","10.521","2292.507","2132.003"
"11","7","13","0","31","9","2.8","0.13","30.048","9.602","493.983","397.208"
"11","7","14","0","14","9","2.3","0.13","13.551","9.298","216.589","129.643"
"11","7","15","0","30","8","1.6","0.13","29.047","8.738","483.236","386.842"
"11","7","16","0","21","8","0.9","0.13","20.325","8.604","321.681","231.011"
"11","7","17","0","0","7","0.7","0.13","0","7","0","0"
"11","7","18","0","0","7","0.6","0.13","0","7","0","0"
"11","7","19","0","0","7","0.5","0.13","0","7","0","0"
"11","7","20","0","0","7","0.3","0.13","0","7","0","0"
"11","7","21","0","0","7","0.3","0.13","0","7","0","0"
"11","7","22","0","0","7","0.5","0.13","0","7","0","0"
"11","7","23","0","0","6","0.5","0.13","0","6","0","0"
"11","8","0","0","0","6","0.6","0.13","0","6","0","0"
"11","8","1","0","0","6","1","0.13","0","6","0","0"
"11","8","2","0","0","6","1.2","0.13","0","6","0","0"
"11","8","3","0","0","6","1.2","0.13","0","6","0","0"
"11","8","4","0","0","6","1.3","0.13","0","6","0","0"
"11","8","5","0","0","6","1.3","0.13","0","6","0","0"
"11","8","6","0","0","6","0.8","0.13","0","6","0","0"
"11","8","7","0","13","6","0.5","0.13","12.972","6.379","141.513","57.228"
"11","8","8","443","60","6","0.6","0.13","116.572","9.402","1615.679","1479.158"
"11","8","9","0","11","8","0.8","0.13","10.639","8.328","169.564","84.285"
"11","8","10","0","15","10","1.2","0.13","14.523","10.404","231.191","143.728"
"11","8","11","0","149","11","1.5","0.13","147.272","14.817","2520.374","2351.796"
"11","8","12","0","119","12","1.9","0.13","116.999","14.779","1984.004","1834.431"
"11","8","13","0","106","13","2.3","0.13","104.171","15.286","1759.75","1618.124"
"11","8","14","0","80","13","2.2","0.13","77.998","14.747","1313.146","1187.345"
"11","8","15","0","79","12","1.6","0.13","79.437","14.021","1347.027","1220.025"
"11","8","16","429","37","10","1.1","0.13","220.584","16.468","3715.472","3504.547"
"11","8","17","0","0","8","1.1","0.13","0","8","0","0"
"11","8","18","0","0","7","1.4","0.13","0","7","0","0"
"11","8","19","0","0","7","1.9","0.12","0","7","0","0"
"11","8","20","0","0","7","2.6","0.12","0","7","0","0"
"11","8","21","0","0","7","3.2","0.12","0","7","0","0"
"11","8","22","0","0","7","3.6","0.12","0","7","0","0"
"11","8","23","0","0","7","3.8","0.12","0","7","0","0"
"11","9","0","0","0","7","3.6","0.12","0","7","0","0"
"11","9","1","0","0","7","3.6","0.12","0","7","0","0"
"11","9","2","0","0","7","3.7","0.12","0","7","0","0"
"11","9","3","0","0","7","3.7","0.12","0","7","0","0"
"11","9","4","0","0","7","3.8","0.12","0","7","0","0"
"11","9","5","0","0","7","3.9","0.12","0","7","0","0"
"11","9","6","0","0","7","3.8","0.12","0","7","0","0"
